Original Sort,Department #,Department,Primary,Secondary,Minor
1,1,Books,"Art, Architecture, Photography & Design",Architecture,Architecture & Design
2,1,Books,"Art, Architecture, Photography & Design",Architecture,Architectural Practice
3,1,Books,"Art, Architecture, Photography & Design",Architecture,Architects
4,1,Books,"Art, Architecture, Photography & Design",Architecture,Architectural History
5,1,Books,"Art, Architecture, Photography & Design",Architecture,Classical
6,1,Books,"Art, Architecture, Photography & Design",Architecture,Medieval
7,1,Books,"Art, Architecture, Photography & Design",Architecture,Renaissance
8,1,Books,"Art, Architecture, Photography & Design",Architecture,17th Century
9,1,Books,"Art, Architecture, Photography & Design",Architecture,18th Century
10,1,Books,"Art, Architecture, Photography & Design",Architecture,19th Century
11,1,Books,"Art, Architecture, Photography & Design",Architecture,20th Century
12,1,Books,"Art, Architecture, Photography & Design",Architecture,Post-Modern
13,1,Books,"Art, Architecture, Photography & Design",Architecture,Professional Design
14,1,Books,"Art, Architecture, Photography & Design",Art,Clip Art
15,1,Books,"Art, Architecture, Photography & Design",Art,Stereograms
16,1,Books,"Art, Architecture, Photography & Design",Art,Architecture
17,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Art History & Criticism
18,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Ancient/Classical
19,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Renaissance
20,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,17th Century
21,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,18th Century
22,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,19th Century
23,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,World Art
24,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Impressionism
25,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,20th Century
26,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Art Techniques
27,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Drawing
28,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Watercolor
29,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Color Theory
